subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order	docpath	path	file	basename
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	5	Rename	species	Alfalfa enamovirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Alfalfa enamovirus 1' to 'Enamovirus AEV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Enamovirus'	NA	4	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	6	Rename	species	Birdsfoot trefoil enamovirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Birdsfoot trefoil enamovirus 1' to 'Enamovirus BFTEV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Enamovirus'	NA	5	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	7	Rename	species	Citrus vein enation virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Citrus vein enation virus' to 'Enamovirus CVEV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Enamovirus'	NA	6	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	8	Rename	species	Grapevine enamovirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Grapevine enamovirus 1' to 'Enamovirus GEV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Enamovirus'	NA	7	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	9	Rename	species	Pea enation mosaic virus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pea enation mosaic virus 1' to 'Enamovirus PEMV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Enamovirus'	NA	8	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	10	Rename	species	Poinsettia latent virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Poinsettia latent virus' to 'Polemovirus PNLV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polemovirus'	NA	9	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	11	Rename	species	Beet chlorosis virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Beet chlorosis virus' to 'Polerovirus BCHV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	10	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	12	Rename	species	Beet mild yellowing virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Beet mild yellowing virus' to 'Polerovirus BMYV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	11	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	13	Rename	species	Beet western yellows virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Beet western yellows virus' to 'Polerovirus BWYV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	12	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	14	Rename	species	Carrot red leaf virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Carrot red leaf virus' to 'Polerovirus CTRLV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	13	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	15	Rename	species	Cereal yellow dwarf virus RPS	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Cereal yellow dwarf virus RPS' to 'Polerovirus CYDVRPS' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	14	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	16	Rename	species	Cereal yellow dwarf virus RPV	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Cereal yellow dwarf virus RPV' to 'Polerovirus CYDVRPV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	15	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	17	Rename	species	Chickpea chlorotic stunt virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Chickpea chlorotic stunt virus' to 'Polerovirus CPCSV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	16	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	18	Merge	species	Cotton leafroll dwarf virus	SUCCESS	MERGE_MOVE_RENAME.OK	Change=MERGE, applied successfully	MERGE species from 'Cotton leafroll dwarf virus' to 'Polerovirus CLDV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus', CURRENT//PROPOSED=Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus;[Cotton leafroll dwarf virus//Polerovirus CLDV]	NA	1	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	19	Rename	species	Cucurbit aphid-borne yellows virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Cucurbit aphid-borne yellows virus' to 'Polerovirus CABYV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	17	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	20	Rename	species	Faba bean polerovirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Faba bean polerovirus 1' to 'Polerovirus FBPV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	18	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	21	Rename	species	Maize yellow dwarf virus RMV	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Maize yellow dwarf virus RMV' to 'Polerovirus MYDVRMV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	19	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	22	Rename	species	Maize yellow mosaic virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Maize yellow mosaic virus' to 'Polerovirus MAYMV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	20	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	23	Rename	species	Melon aphid-borne yellows virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Melon aphid-borne yellows virus' to 'Polerovirus MABYV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	21	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	24	Rename	species	Pepo aphid-borne yellows virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pepo aphid-borne yellows virus' to 'Polerovirus PABYV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	22	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	25	Rename	species	Pepper vein yellows virus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pepper vein yellows virus 1' to 'Polerovirus PEVYV1' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	23	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	26	Rename	species	Pepper vein yellows virus 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pepper vein yellows virus 2' to 'Polerovirus PEVYV2' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	24	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	27	Rename	species	Pepper vein yellows virus 3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pepper vein yellows virus 3' to 'Polerovirus PEVYV3' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	25	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	28	Rename	species	Pepper vein yellows virus 4	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pepper vein yellows virus 4' to 'Polerovirus PEVYV4' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	26	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	29	Rename	species	Pepper vein yellows virus 5	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pepper vein yellows virus 5' to 'Polerovirus PEVYV5' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	27	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	30	Rename	species	Pepper vein yellows virus 6	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pepper vein yellows virus 6' to 'Polerovirus PEVYV6' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	28	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	31	Rename	species	Potato leafroll virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Potato leafroll virus' to 'Polerovirus PLRV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	29	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	32	Rename	species	Pumpkin polerovirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pumpkin polerovirus' to 'Polerovirus PUPV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	30	NA	NA	NA	NA
Plant virus (P) proposals	2023.019P	2023.019P.A.v1.Solemoviridae_rename_sp.docx	2023.019P.Uc.v4.Solemoviridae_rename_sp.xlsx	33	Rename	species	Suakwa aphid-borne yellows virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Suakwa aphid-borne yellows virus' to 'Polerovirus SABYV' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Polerovirus'	NA	31	NA	NA	NA	NA
